,indonesian,ngaju
0,abu,dabu
1,abu,habu
2,abu,kawu
3,adopsi,adopsi
4,adopsi,angkan
5,adopsi,angkat
6,adopsi,maangkat
7,adopsi,mangkat
8,aduh,akay
9,aduh,akuy
10,aduh,beh
11,aduh,boh
12,aduh,kayah
13,aduh,te iye
14,aktif,aktif
15,aktif,dia tau benyem
16,aktif,gerek
17,aktif,hagerek
18,aktif,umba tarus
19,aku,aku
20,aku,aku tuh
21,aku,ku
22,alam,alam
23,alam,dunia
24,alam,sakitar
25,alasan,alasan
26,alasan,pamangat pander
27,aman,aman
28,aman,jatun bahaya
29,aman,salamat
30,amat,bujur
31,amat,kalalau
32,amat,lalau
33,amat,tutu
34,ambil,duan
35,ambil,juluk
36,ambil,manduan
37,ancam,ancam
38,ancam,pander ngancam
39,ancaman,ancaman
40,ancaman,ngancam pander
41,aneh,aneh
42,aneh,beken beken
43,aneh,je aneh
44,anehnya,je aneh te
45,anehnya,je beken te
46,anggun,anggun
47,anti,anti
48,anti,dia
49,anti,dia belai
50,anti,puna dia
51,antisipasi,antisipasi
52,antisipasi,mencegah ih
53,api,apui
54,api,apuy
55,apresiasi,apresiasi
56,apresiasi,bajurah
57,apresiasi,merega
58,asing,asing
59,asing,dia biasa
60,asyik,asyik
61,asyik,rami
62,badass,harat
63,badass,tamam
64,bagi,bagi
65,bagi,nenga
66,bagus,bahalap
67,bagus,bajenta
68,bahagia,kahanjak
69,bahagia,sanang
70,bahaya,bahaya
71,bahaya,dia aman
72,baik,bahalap
73,baik,bajenta
74,baik,bejenta
75,ban,ban
76,ban,roda
77,bangga,bangga
78,bantu,dohop
79,bantu,duhup
80,bantu,manduhup
81,batal,balang
82,batal,batal
83,batal,dia jadi
84,batas,batas
85,batas,tatas
86,bebas,bebas
87,bebas,lapas
88,beberapa,papire
89,beberapa,pire-pire
90,bela,bela
91,bela,hakabela
92,belakang,likut
93,benar,bujur
94,benar,tutu
95,bencana,malapetaka
96,bencana,musibah
97,benci,bajilek
98,benci,benci
99,benci,muar
100,berani,bahanyi
101,berani,dia mikeh
102,berarti,arti te
103,berarti,artie
104,berarti,berima
105,berat,babehat
106,berat,behat
107,berat,ehat
108,berbahaya,bahaya
109,berbahaya,bahaya tutu
110,berbahaya,bebahaya
111,berdarah,are daha
112,berdarah,badaha
113,berdarah,bedaha
114,berdoa,badoa
115,berdoa,bedoa
116,berdoa,laku doa
117,berduka,beduka
118,berduka,pehe angat
119,berduka,pehe atei
120,berguna,are guna
121,berguna,baguna
122,berguna,tege guna
123,berhak,berhak
124,berhak,puna hak
125,berhak,tege hak
126,berharap,baharap
127,berharap,beharap
128,berharap,kaharap
129,berharap,manunggu
130,beri,inenga
131,beri,manenga
132,beri,nenga
133,berkomitmen, ba komitmen
134,berkomitmen,bejanji
135,berkomitmen,negei pander
136,berlebihan,belabihan
137,berlebihan,kalabihan
138,berlebihan,lalau
139,berlebihan,lalau are
140,bermanfaat,are guna ah
141,bermanfaat,baguna
142,bermanfaat,beguna
143,bersaing,balumba
144,bersaing,basaing
145,bersaing,batupa
146,bersaing,besaing
147,bersama,hayak
148,bersama,sama sama
149,bersedih,besedih
150,bersedih,pehe angat
151,bersedih,pehe atei
152,bersembunyi,benyem tunis
153,bersembunyi,mahindar
154,bersembunyi,nyehukan
155,bersorak,basurak
156,bersorak,besorak
157,bersorak,karas pander
158,bersorak,tantiak
159,bersorak,tariak
160,besar,ha'i
161,besar,hai
162,biadab,bangsat
163,biadab,dia baadat
164,biadab,humung
165,biadab,jatun adat
166,biadab,jatunti hadat
167,biadab,mameh
168,biaya,ongkos
169,bingung,bingung
170,bingung,hengan
171,bodoh,bungul
172,bodoh,humung
173,bodoh,kepaleng
174,bodoh,mameh
175,bohong,nenjaru
176,bohong,tanjaru
177,bom,bom
178,buka,buka
179,buka,mukei
180,bunga,kambang
181,bungkam,benyem
182,bungkam,nampa benyem
183,bunuh,munu
184,bunuh,patei
