abu,abee,,
adopsi,cok,,
aduh,adoh,,
aktif,aktif,,
aku,lon,,
alam,alam,,
alasan,alasan,,
aman,aman,,
amat,that,,
ambil,cok,,
ancam,ancam,,
ancaman,ancaman,,
aneh,ganje,,
anehnya,nyang ganje,,
anggun,tari,dhiet,
anti,anti,,
antisipasi,antisipasi,antisipasi,
api,apui,,
apresiasi,apresiasi,,
asing,aseng,,
asyik,meurasa,,
badass,,,
bagi,weuek,keu,
bagus,dhiet,lagak,
bahagia,bahgia,,
bahaya,bahya,,
baik,get,jroh,
ban,bhan,,
bangga,bangga,,
bantu,bantu,tulong,
batal,bantai,,
batas,ceue,,
bebas,bibeueh,,
beberapa,ladom,,
bela,bela,,
belakang,likot,,
benar,beutoi,,
bencana,beuncana,,
benci,banci,,
berani,beuhe,,
berarti,beurarti,,
berat,geuhon,,
berbahaya,bahya,,
berdarah,meudarah,,
berdoa,meudoa,,
berduka,meuduka,,
berguna,meuguna,,
berhak,na hak,,
berharap,meuharap,,
beri,bri,bi,
berkomitmen,meudong,,
berlebihan,meuleumpah,,
bermanfaat,meuguna,,
bersaing,meusayeng,,
bersama,sajan,,
bersedih,meuweueh,,
bersembunyi,meusom,,
bersorak,surak,,
besar,rayek,,
biadab,biadab,,
biaya,biaya,,
bingung,bingong,,
bodoh,bangai,,
bohong,sulet,,
bom,bom,,
buka,peuhah,buka,
bunga,bungong,keumbee,
bungkam,seungap,,
bunuh,poh,,
bunuh diri,poh droe,,
buruk,brok,,
buta,buta,,
cantik,lagak,,
capai,trok,,
cari,mita,,
cedera,cidra,saket,
cegah,theuen,tham,
cemas,hayut,,
cepat,bagah,,
cerdas,carong,,
cinta,cinta,,
cium,com,,
cocok,meukeunong,,
copet,copet,,
damai,dame,,
dapat,teumee,teumeueng,
daya,daya,,
diabaikan,biyeue,,
diam,iem,,
diancam,diancam,,
dibersihkan,jipeugleh,,
dicuri,jicue,,
dihukum,jihukom,,
dikalahkan,jipeutalo,,
dipercaya,jipateh,,
dipermalukan,jiseumalee,,
dipertanyakan,jitanyong,,
diprovokasi,diprovokasi,,
disebut-sebut,fitnah,,
ditakuti,jipeutakot,,
ditangkap,jidrop,,
diteror,diteror,jiteror,
ditinggalkan,jitinggai,,
ditingkatkan,jipeuek,,
dituduh,jitudoh,,
ditunda,jitunda,,
doa,doa,,
doktrin,doktrin,,
duka,weueh,duka,
dukung,bantu,,
dukungan,beunantu,,
efektif,efektif,,
eksklusif,eksklusif,,
empati,weueh,,
fitnah,fitnah,,
fokus,fokus,,
gagah,gagah,,
gagal,gagal,,
gampang,mudah,,
ganggu,karu,,
gaya,gaya,,
gelap,seupot,,
gentar,gok,,
gertak,geurtak,geureutak,
gila,pungo,,
guncang,gok-gok,,
guncangan,meugok-gok,,
ha,o Po,,
habis,abeh,,
hal,peukara,,
hancur,anco,,
hantu,hantu,,
harapan,harapan,,
harga,yum,,
harta,hareuta,,
hasil,hase,wase,
hati,hate,,
hati-hati,got-got,,
hebat,hayeue,,
heboh,gabuek,,
heroik,kha,,
hidup,udep,,
hilang,gadoh,,
hukum,hukom,,
ikut,seutot,,
ilham,ilham,,
iman,iman,,
indah,lagak,,
ingat,ingat,,
ingin,heuet,hajat,
interogasi,interogasi,,
isi,asoe,,
istimewa,istimewa,,
jahat,jeuheuet,,
jamin,jamin,,
jatuh,rhot,,
jawab,jaweueb,,
jaya,jaya,,
jelas,trang,,
jelek,brok,,
jenis,jeuneh,,
jual,publoe,,
kalah,talo,,
kalimat,kalimat,,
kapal,kapai,,
karya,karya,buet,
kasihan,weueh,,
kaya,kaya,,
keadilan,ade,,
keamanan,aman,,
kebaikan,get,,
kebencian,luwat,banci,
keberanian,beuhe,,
kebetulan,keubeutulan,,
kecewa,keucewa,,
kehancuran,anco,,
kehilangan,gadoh,,
kejahatan,jeuheuet,,
kejam,keujam,,
keji,keuji,,
kekayaan,kaya,,
kekerasan,semeupoh,,
kekuatan,daya,keukuatan,
kelaparan,deuek,,
keluar,teubiet,,
kematian,mate,,
kembali,gisa,,
kena,keunong,,
kenal,turi,,
kenyamanan,mangat,,
kepentingan,keupeuntengan,,
keras,kreueh,,
keren,hayeue,,
kerugian,rugoe,,
kerusakan,reuloh,,
kesalahan,salah,,
kesan,keusan,,
kesempatan,watee,,
kesepian,seungue,,
kesulitan,payah,,
ketakutan,teumakot,,
ketat,arat,keutat,
ketegangan,teugang,,
kompak,sapeue pakat,,
konflik,karu,,
konspirasi,konspirasi,,
korban,korban,kurbeuen,
korban jiwa,abeh umu,,
kosong,soh,,
kotor,kuto,,
kuat,teuga,,
kurang,kureueng,,
kutuk,kutok,,
kutukan,kutok,,
langgar,langga,,
larang,tham,,
larangan,tham,,
lawan,lawan,,
layak,layak,,
lebih,leubeh,,
lebih baik,leubeh get,,
lembut,leumoh,,
lengkap,leungkap,,
lenyap,gadoh,,
lewat,leupah,liwat,
lihat,eu,kalon,
lmao,khak,,
luar biasa,luwa biasa,,
lucu,lucu,ulok,
luka,luka,,
lupa,tuwo,,
maaf,meu'ah,,
mahal,meuhai,,
mampu,sanggop,,
marah,beungeh,,
masalah,masaalah,,
mati,mate,,
mayat,manyet,,
melakukan,pubuet,,
melanggar,langga,,
melemahkan,peuleumoh,,
melindungi,lindong,jaga,
melumpuhkan,peureubah,,
memastikan,peuteuntee,,
membahayakan,peubahya,,
membantu,bantu,,
membatalkan,peubateue,,
membenci,beunci,luwat,banci
membuka,peuhah,,
membunuh,poh,,
memerangi,prang,,
mempertanyakan,tanyong,,
memuji,pujoe,,
menahan,theuen,,
menanti,preh,,
menarik,,tarek,
mencurigakan,curiga,,
mendapatkan,meuteumee,,
menderita,jra,,
mendoktrin,jidoktrin,,
mendorong,tulak,,
mendukung,jidukung,jisokong,
mendung,reudok,,
menembak,timbak,,
menerima,teurimong,,
mengakui,aku,,
mengamankan,peuaman,,
mengeluarkan,peuteubiet,,
mengembalikan,pulang,,
mengerikan,hayut,,
menghancurkan,peuanco,,
menghargai,boh yum,,
menghindari,peuse,,
mengusir,let,,
mengutuk,kutok,,
meninggal,meuninggai,,
meningkatkan,peuek,,
menolak,tulak,,
menunggu,preh,,
menurunkan,peutron,,
menyadari,thee,,
