,indonesian,acehnese
0,abu,abee
1,adopsi,cok
2,aduh,adoh
3,aduh,aduh
4,aduh,alahmak
5,aduh,kapalo
6,aktif,aktif
7,aku,loen
8,aku,lon
9,alam,alam
10,alasan,alasan
11,alasan,daleh
12,aman,aman
13,aman,tentram
14,amat,teuleupah
15,amat,that
16,ambil,cok
17,ancam,agak
18,ancam,ancam
19,ancaman,ancaman
20,ancaman,ayeuk
21,aneh,aneh
22,aneh,ganje
23,aneh,janggai
24,anehnya,nyang ganje
25,anehnya,yang janggai
26,anggun,dhiet
27,anggun,lagak
28,anggun,tari
29,anti,anti
30,antisipasi,antisipasi
31,antisipasi,ceugah
32,api,apui
33,apresiasi,apresiasi
34,apresiasi,pujoe
35,asing,aseng
36,asyik,hayeu
37,asyik,meurasa
38,badass,paleh
39,bagi,bagi
40,bagi,keu
41,bagi,weuek
42,bagus,dhiet
43,bagus,get
44,bagus,lagak
45,bagus,mantap
46,bahagia,bahgia
47,bahagia,gembira
48,bahagia,meuria-ria
49,bahagia,seunang
50,bahaya,bahaya
51,bahaya,bahya
52,bahaya,peutaka
53,baik,get
54,baik,jroh
55,ban,bhan
56,bangga,akla
57,bangga,bangga
58,bangga,seunang
59,bantu,bantu
60,bantu,tulong
61,batal,bantai
62,batal,bateu
63,batal,hana jadeh
64,batas,batah
65,batas,ceu
66,batas,ceue
67,bebas,bebaih
68,bebas,bibeueh
69,bebas,merdeka
70,beberapa,ladom
71,beberapa,meupadum
72,bela,bela
73,bela,bila
74,belakang,likot
75,benar,beutoi
76,benar,keubit
77,benar,lagee na
78,benar,saheh
79,bencana,bala
80,bencana,beuncana
81,bencana,musibah
82,bencana,peutaka
83,benci,banci
84,benci,glak
85,benci,hana galak
86,berani,beube
87,berani,beuhe
88,berani,keujeut
89,berarti,berarti
90,berarti,beurarti
91,berarti,meukeusan
92,berat,brat
93,berat,geuhon
94,berbahaya,bahya
95,berbahaya,meubahaya
96,berdarah,meudarah
97,berdoa,lakee doa
98,berdoa,meudoa
99,berduka,meuduka
100,berduka,meuseudeh
101,berguna,meuguna
102,berguna,ngeui
103,berhak,berhak
104,berhak,na hak
105,berhak,patot
106,berharap,meuharap
107,beri,bi
108,beri,bri
109,beri,jok
110,berkomitmen,meudong
111,berkomitmen,meukomitmen
112,berlebihan,meuleumpah
113,berlebihan,teuleubeh-leubeh
114,bermanfaat,beumanfaat
115,bermanfaat,meuguna
116,bersaing,meusaeng
117,bersaing,meusayeng
118,bersama,meusaban
119,bersama,sajan
120,bersama,sama-sama
121,bersedih,meuseudeh
122,bersedih,meuweueh
123,bersedih,weuh hatee
124,bersembunyi,meusom
125,bersorak,meusurak
126,bersorak,peukra
127,bersorak,surak
128,besar,raya
129,besar,rayek
130,besar,rayeuk
131,biadab,biadab
132,biadab,hana adab
133,biaya,biaya
134,biaya,peng
135,bingung,bingong
136,bingung,mumang
137,bodoh,bangai
138,bodoh,ngeut
139,bohong,hana beutoi
140,bohong,peungeut
141,bohong,sulet
142,bom,bom
143,buka,buka
144,buka,peuhah
145,buka,teuhah
146,bunga,bungoeng
147,bunga,bungong
148,bunga,keumang
149,bunga,keumbee
150,bungkam,iem
151,bungkam,seungap
152,bunuh,peumatee
153,bunuh,poh
154,bunuh diri,peumatee droe
155,bunuh diri,poh droe
156,buruk,brok
157,buta,buta
158,buta,seupot mata
159,cantik,ceudah
160,cantik,lagak
161,cantik,tari
162,capai,hek
163,capai,trok
164,cari,eu
165,cari,mita
166,cedera,cidra
167,cedera,luka
168,cedera,saket
169,cedera,teupeh
170,cegah,ceugah
171,cegah,tham
172,cegah,theuen
173,cemas,dawok
174,cemas,hayut
175,cemas,khawate
176,cemas,meh-moh
177,cepat,bagah
178,cepat,laju
179,cepat,ligat
180,cerdas,bakoe
181,cerdas,caroeng
182,cerdas,carong
183,cerdas,cerdik
184,cinta,cinta
185,cinta,galak
186,cinta,sayang
187,cium,com
