,indonesian,acehnese,banjarese,english,madurese,ngaju,sundanese,balinese,buginese,javanese,minangkabau,toba_batak
0,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,Neumeuseunang ngon neubayeue bacut-bacut angsuran 0% persen sampoe dua blah buleuen keu nyang bloe tiket kapai teureubang ngon keureutu kredit BNI!,Rasai cicilan 0% sampai 12 bulan gasan mamasan tikit pasawat air asia lawan kartu kridit bni!,Enjoy 0% instalment for up to 12 months when ordering an Air Asia plane ticket with BNI Credit Card!,Nikmati cecelan 0% sampek 12 bulen ghebey pamessenan karcis kapal air asia bik kartu kredit bni!,Mengkeme angsuran nol% sampai  due welas bulan akan pameteh  tiket pesawat air asia hapan kartu kredit bni!,Nikmati angsuran 0% dugi ka 12 bulan kanggo mesen tiket pasawat air asia nganggo kartu kiridit BNI!,Nikmati cicilan 0% kanti 12 bulan antuk pemesanan tiket pesawat air asia nganggen kartu kredit bni!,pirasai cicilan 0% lettu 12 uleng ko mappesang tike' pesawa' air asia pake kartu kredi'na bni!,Nikmatono cicilan 0% sampek 12 sasi dinggo pesen tiket kapal air asia nganggo kertu kredit bni!,Nikmati cicilan 0% sampai 12 bulan untuak pamasanan tiket pisawat air asia jo kartu kredit bni!,atimi ciccilan 10% sahat 12 bulan tu panuhoran tiket pesaway air asia dohot kartu kredit bni!
1,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.","Kueh nyang dihidang peuingat lon masa dilee. Bandum moden kueh jameun, get dari beuntuk atawa rasa. Kuehjih mangat dan yum pih murah.","Wadai wadai nang disurung maulah banustaltalgia. Sabarataan mudilnya wadai jaman bahari, mulai panampilan wan jua rasa. Wadainya nyaman wan haraganya jua murah.",The cakes give me massive nostalgia. Everything is old school. from the presentation to the taste. They're great and inexpensive,"Jejen-jejen se esadiye'eghi ghebey makerrong engkok. Kabbhienna khas jejen jeman lambek, baik deri tampilanna otabe rassana. Jejenna nyaman ben regghena kiya mude.","Wadai wadai je inyedia nampae aku bernostalgia. Uras wadai jaman huran, bahalap bara tempayah dengan angat. Wadai mangat tuntang rega ah murah.","Kue anu disajikeun ngajantenkeun kuring nostalgia. Sadayana mangrupikeun khas tina zaman baheula, boh dina tampilan sareng rasa. Kuena ngeunah sareng hargina oge mirah.","Jaje-jaje ne sane kasajiang ngaenang tiang bernostalgia. Makejang sakadi jaje jaman ipidan, uli penampilanne tur  rasa ne. Jajene jaan lan ajine mudah. ","beppa-beppa na taroe mapparingerrang. beppa riolo maneng, rupanna na re'ga rasana. malunra' beppana na masempo","Roti-roti sing disajekne nggarai aku nostalgianan. Kabeh model roti jaman biyen, saka tampilane utawa rasa. Rotine enak lan regane uga mirah.","Kue-kue nan disajian mambuek awak takana masa lalu. Sadolahnyo mode kue jaman dulu, antah itu dari penampilan maupun raso. Kuenyo lamak dan haragonyo murah lo.","Kue-kue na diparade mambahen au taringot tu angka nadung salpu. saluhut angka ragam ni kue tingki najolo, songon rupa nang dohot daina, kue na tabo argana pe ura."
2,Ibu pernah bekerja di grab indonesia,Ibu tom geukereuja bak Grab Indonesia,Mama suah bagawi di grab indonesia,Mom once worked for grab indonesia.,Emak pernah alako e grab indonesia,Umay puji begawi hong grab indonesia,Ibu kantos ngadamel di grab indonesia,Ibu naenang makarya ring grab Indonesia,pura emmakku ma'jama okko grab indonesia,Ibu uwis tahu kerja ing grab indonesia,Ibu pernah bakarajo di grab indonesia,Inong hea karejo di grab Indonesia.
3,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","Paleng galak ta pajoh bu leuho inoe, manok ngon sambaijih mangat yum pih luar biasa hemat, rasa manok meunyuem troh bak tuleueng, eh lidah buaya pih segar jeuet keu peulieupie pruet lheuh tapajoh sambai nyang keueung, ureueng kereuja pih ligat dan rumeh, nyang lon galak bak tempat bayeue na dituleh siploh persen disumbang keu amai, sehingga 'oh ta pajoh leubeh mangat teuh prut.","Paling katuju banar makan siang disini ayam lawan sambalnya nyaman banar haraganya luar biasa imit, rasa ayamnya rasap sampai ka tulangnya, es lidah buayanya jua sigar maulah dingin parut imbah makan sambal nang padas, palayanannya sikap wan lamahan, nang ulun katuju di wadah kasir ada tulisan 10% disumbangakan gasan baa,al, maulah makan jadi nyaman ka parut.","I love having lunch here the most, thanks to their delicious chicken and sambal, also the price is dirt cheap. The taste of the chicken just seeps to the bone, and the iced aloe vera drink is also fresh, perfect to cool off my stomach after eating the spicy sambal. The servers are swift and kind, and what I like is that in the cashier there's a writing that says 10% of the profit will be donated to charity, making the meal feel even better to my stomach.","Paleng senneng ongghu ngakan aban e dinna' ajam bi' sambhel la nyaman ongghu ragghana ngoda, rassa ajamma masok dapa' ka tolang. Es lidah buayana kia ghabay seggher e tabu' samarena ngakan sambhel se peddes, palayanna sigap ban ramah, se engko' senneng e kennengngan majar bada tolesan 10% e sombangaghi ghabay amal, ghabay kakanan lebbi nyaman ka tabu'","Paling sanang tutu kuman bentuk andau hong hetuh manuk hayak sambal ah manis menyak rega luar biasa hemat, angat manuk te tame merasuk sampai kan tulang ah, es lidah buaya te kea segar mawi sedingen kenai limbah kuman sambal ji bahari, pelayan te langkap dengan bejenta, ji aku sanang hong eka kasir tege tulisan sapuluh persen menengak akan beramal, mawi kuman jadi labih mangat kan kanai","Pang resepna tuang beubeurangan di dieu hayam sareng sambelna raos pisan pangaosna luar biasa hemat, rasa hayamna nyerep ka tulangna, es lidah buayana oge seger nyieun patuangan adem saatos tuang sambel nu lada, palayanna oge sigap sareng someah, nu ngajieun abdi resep di tempat kasir aya tulisan 10% disumbangkeun kanggo amal, ngajieun tuangeun leuwih raos ka patuangan.","Paling demen sajan ngajeng siang driki be siap lan sambelne jaen sajan ajine jeg mudah sajan, rasan be siap ne ngresep kanti ke tulang ne , es lidah buayane masih seger ngae adem waduk sesampun ngajeng sambel sane lalah, pelayan ne sigap lan ramah, sane demenin tiang ring genah kasir wenten tulisan 10% kanggen nyumbang dados wantuan, ngajeng ngrasa lebih jaen ke waduk. ","Laipoji ladde' manre tangesso okkoe manu' sibawa sambala' na malunra' ladde' ellinna maka topa sempo, rasa na manu'na mattemme' lettu' buku bukunna, Ese' lilla buayana aga makessing nacekkeri wettang e purata' manre sambala' pesse. Pajjamana magetti na ma bessa, iyae upojiangngi ri anroang kassere' na engka oki 10% laiyassumbangeng lao makkamala', napancajiwi anrewe pede' malunra' tama okko wettang e","Paling seneng banget mangan awan ing kene pithik karo sambele enak banget regane luwar biasa hemat, rasa pithike ngeresep nganti tekan balunge, es lidah buayane uga seger marakna adem wetenge sakbanjure mangan sambel sing pedes, pelayanane sigap lan grapyak, sing aku seneng ing panggon kasir ana tulisan 10% disumbangake kanggo amal, kanggo mangan dadi luwih enak ing weteng","Paliang suko bana makan siang di siko ayam jo ladonyo lamak bana harago lua biaso himat, raso ayamnyo maresap sampai katulangnyo, es lidah buayonyo juo segar buek sajuak paruik siap makan lado yang padeh, palayannyo sigap dan ramah, yang wak suko di tampek kasir ado tulisan 10% disumbangan untuak baamal, buek makan jadi labiah lamak ka paruik","Tung mansai lomo do roha mangan tonga ari dison manuk dohot sambal nai tung mansai tabo argana pe namuraan , dae ni manuk nai sahat tu holi-holi na, es lidah buaya nai ipe denggan mambahen butuha gabe lambok dung mangallang sambal na siak. Angka parhobasna pe hatop-hatop jala burju, na membahen lomo muse rohangku diinganan lao manggarar adong tarsurat 10 % dipasahat tu ulaon asi ni roha, mambahen lam tabo sipanganon i dibagasan siubeon."
4,Pelayanan bus DAMRI sangat baik,Peulayanan bus DAMRI cukop get,Palayanan bus DAMRI baik banar,The DAMRI Bus service is really good,Pelayanan bis DAMRI bhegus sarah,Pelayanan BUS Damri bahalap tutu,Palayanan beus DAMRI sae pisan,Pelayanan bus DAMRI luung pesan. ,Appangaderenna bus DAMRI maka kanja',Pelayanane bis DAMRI apik banget.,Palayanan bus DAMRI sangaik elok,Panghobasion ni bus Damri mansai denggan.
5,Mau bikin postingan yang isinya mengedukasi customers gojek.,Meuheuet peuget postingan nyang asoejih jeut keu sarana peurunoe awak pakek gojek,Hadan baulah postingan nang isinya mandidik palanggan gojek,Wanna make some posts with contents that educate Gojek customers.,Terro aghabay postingan se essena maghi pangajharan ka palanggan gojek.,Handak mawi postingan je isi te mengedukasi customer gojek.,Rek nyieun postingan nu eusina ngajarkeun palanggan gojek.,Dot ngae postingan sane isine mengedukasi customers gojek.,Melo makkabbua postingan iya ise' na paddissengeng lao ri tau pake e gojek.,Arep nggawe postingan sing isine ngedukasi pelanggan gojek.,Nio buek postingan yang isionyo maedukasi customers gojek.,Naeng bahenon postingan na isina parsiajaran ni angka customers gojek
6,Ratusan rumah di medan terendam banjir,Meureutoh rumoh di Medan keunong ie raya,Ratusan rumah di medan tarandam banjir.,Hundreds of houses in Medan were submerged by the flood,Ratosan bangko e medan  tarendem banjir.,Ratusan huma hong medan lelep awi banjir,Ratusan bumi di medan karendem banjir,Satusan umah ring medan merendem banjir,Maddatu bola okko medan nala lempe',Atusan omah ing medan kebanjiran,Ratuihan rumah di medan tarandam banjir,Marratus jabu di medan na hona banjir
7,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","Barangjih lumayan, tapi nyang lon hireun xiaomi rednote 2 nyoe tombol peuudep cit lagee ka reuloh? lheuh nyan batre peue cit bagah that abeh toke?","Barangnya talumayan, tagal nang ulun heran xiaomi redmi note 2 ngini picikan onnya dasar pina rusak? Mbahtu baterai dasar lakas low bat kah juragan?","The item's pretty good, but I'm confused. Is the ON button on the Xiaomi Redmi Note 2 kinda broken? And does the battery really drain this fast, boss? ","Barangnga pendhenan, pera' se engkok mengnga' xiaomi redmi note 2 riya tombol on na jhet bek rosak? Terros baterai jhek lekkas low bat jregan?","Ramu ah sadang, cuma je aku hengan xiaomi redmi note due (2) tuh tombol onnya ah puna  agak rusak? Terus baterai puna cepat bakurang kah juragan?","Barangna lumayan, ngan nu ku abdi heran xiaomi redmi note 2 ieu tombol onna bener rada reksak? Teras baterai na bener enggal  low bat juragan?","Barange lumayan, nanging sane tiang heran xiaomi redmi note 2 niki tombol onne mula agak usak? Terus batre mula enggal low bat bos?","warangna biasa, cuma herangma mitai iyye xiaomi redmi note 2 tombolo onna masolang memeng ga? nappa batrenna masija' memeng ga low bat bos?","Barange lumayan, mung sung aku gumun xiaomi redmi note 2 iki tombol uripe tenan rada rusak? Banjur bateraine tenan cepet entek juragan?","Barangnyo lumayan, cuma yang den heran xiomi redmi note 2 ko tombol onnyo memang agak rusak? Tu baterai memang capek low bat juragan?","barang na tarhilala, alai na heran iba xiaomi redmi note2 i potik-potik  laho pagalakhon na memang na sega do? muse batere na  emang na hatop do habis tokke?"
8,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Payah that ta pateh ureueng nyang ka tom ji meukhianat,Ngalih banar mampercayai urang nang suah bahianat,Really hard to trust people who had betrayed us before,Cek sulitte parcaje ka oreng se mare congoco.,Bahali tutu mempercaya uluh ji jadi puji berkhianat.,Sesah pisan percanten ka jalmi nu tos kantos ngakhianat,Keweh sajan ngugu anak ane suba taen berkhianat,Mawatang ladde' tepperi tau iya purae mabbelle,Angel banget mercoyoi wong sing wis tau khianat,Payah bana mampacayoi urang nan alah pernah bakianat,Maol hian manghaporseai jolma naung hea mangose padan.
9,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Lokasi di Gombel ngon pemandangan Semarang, jak keuh watee malam uroe sebab na deuh lampu kota, makanan mangat steak dan te hangat menu wajeb disinoe, taduek di luwa seubab angen sijuk leupie.","Lukasi intang gombel wan pamandangan semarang, datang ai mun malam gegara lampu kuta nang bakal talihat, makanan nyaman steak wan teh hangat surungan nang wajib di sini, ambil wadah di luar karena hawanya dingin wan sajuk","Located in Gombel with Semarang scenery, come at night because you can see the city lights. The great steak and warm tea are a must-try here. Take the outdoor spot because the air is cool and breezy.","Kennengngan e gombel bik pangabesen semarang, detengla malem polana dhemar kotta bhekal etangale, kakanan nyaman steak ben teh anga' menu wejib e diye, ngala' kennengngan e luar polana anginna cellep ben seggher","Eka hung gombel dengan pemandangan semarang, dumah ih hamalem awi lampu kota tau tapayah, panginan mangat steak dengan teh balasut menu wajib hetuh, dua eka hung luar awi riwut te sadingen tuntang sejuk.","Lokasina di Gombel nu pintonan semarang, datangna kedah weungi sabab lampu kota bakal katingali, kadaharan ngeunah na steak jeung teh haneut menu wajib di dieu, nyandak spot di luar sabab hawana tiis tur sejuk","Tongos ring gombel ajak pemandangan semarang, tekalah peteng krana lampu kota lakar ngenah, ajengan jaan steak lan teh anget menu wajib dini, jemak spot diwang krana udara dingin lan sejuk","Anroanna okko gombel  iya pattiroanna semarang, engka ki' ko wenni i nasaba' lampunna kota e pitai, anre-anre malunra'  na steak sibawa teng pella mancaji menu mattette' okkoe, alaki anroang ri saliweng nasaba anging na macekke' dan ma mappamekke.","Panggonan di gombel karo pemandangan semarang, tekao bengi merga lampu kutha bakale ketok, panganane enak steak lan teh anget menu wajib ning kene, njupuk spot ning jaba merga udara anyep lan sejuk","Lokasi di gombel jo pamandangan semarang, tibolah malam dek lampu kota akan tacaliak, makanan lamak steak jo teh hangek menu wajib di siko, ambiak spot di lua dek udaro dingin dan sajuak","Inganan di Gombel dohot panatapan Semarang, ro ma siborngin alana palito ni kota gabe haberengan, sipanganon tabo steak dohot aek las ido sipanganon na ikkon didai dison. Pillit ma inganan na di luar alana alogo namansai ngali jala lambok"
