abu,ash,dust,cinder,,,,,,,
adopsi,adoption,,,,,,,,,
aduh,ouch,,,,,,,,,
aktif,active,lively,dynamic,,,,,,,
aku,me,I,,,,,,,,
alam,nature,,,,,,,,,
alasan,reason,rationale,excuse,cause,ground,argument,motive,,,
aman,safe,secure,,,,,,,,
amat,very,so,most,greatly,well,extremely,tremendous,enormous,super,
ambil,take,,,,,,,,,
ancam,threaten,intimidate,,,,,,,,
ancaman,threat,menace,,,,,,,,
aneh,strange,unusual,odd,weird,bizarre,peculiar,eccentric,abnormal,,
anehnya,strangely,unusually,oddly,weirdly,bizarrely,peculiarly,eccentricly,abnormally,,
anggun,elegant,graceful,,,,,,,,
anti,anti,,,,,,,,,
antisipasi,anticipation,,,,,,,,,
api,fire,flame,blaze,light,,,,,,
apresiasi,appreciation,,,,,,,,,
asing,foreign,alien,strange,,,,,,,
asyik,fun,,,,,,,,,
badass,badass,,,,,,,,,
bagi,for,to,divide,,,,,,,
bagus,good,beautiful,fine,nice,,,,,,
bahagia,happy,content,,,,,,,,
bahaya,danger,hazard,,,,,,,,
baik,good,well,nice,kind,,,,,,
ban,tire,belt,,,,,,,,
bangga,proud,,,,,,,,,
bantu,help,assist,,,,,,,,
batal,cancell,null,invalid,,,,,,,
batas,limit,boundary,border,,,,,,,
bebas,free,independent,,,,,,,,
beberapa,some,several,couple,few,,,,,,
bela,defend,,,,,,,,,
belakang,back,rear,behind,,,,,,,
benar,correct,right,accurate,true,valid,,,,,
bencana,disaster,,,,,,,,,
benci,hate,dislike,,,,,,,,
berani,brave,bold,,,,,,,,
berarti,meaningful,,,,,,,,,
berat,heavy,severe,serious,difficult,,,,,,
berbahaya,dangerous,harmful,hazardous,,,,,,,
berdarah,bloody,,,,,,,,,
berdoa,pray,,,,,,,,,
berduka,mourn,sorrow,,,,,,,,
berguna,useful,handy,helpful,,,,,,,
berhak,entitled,rightful,,,,,,,,
berharap,hope,expect,,,,,,,,
beri,give,,,,,,,,,
berkomitmen,committed,,,,,,,,,
berlebihan,excessive,obsessive,,,,,,,,
bermanfaat,useful,benefecial,,,,,,,,
bersaing,competitive,,,,,,,,,
bersama,together,,,,,,,,,
bersedih,sad,grieve,,,,,,,,
bersembunyi,hide,,,,,,,,,
bersorak,cheer,shout,,,,,,,,
besar,big,great,huge,large,bulky,,,,,
biadab,savage,barbaric,inhuman,,,,,,,
biaya,cost,fee,charge,expense,,,,,,
bingung,confuse,,,,,,,,,
bodoh,stupid,foolish,dumb,silly,idiot,,,,,
bohong,lie,,,,,,,,,
bom,bomb,,,,,,,,,
buka,open,,,,,,,,,
bunga,flower,,,,,,,,,
bungkam,quiet,silent,,,,,,,,
bunuh,kill,,,,,,,,,
bunuh diri,suicide,,,,,,,,,
buruk,bad ,poor,,,,,,,,
buta,blind,,,,,,,,,
cantik,beautiful,pretty,lovely,,,,,,,
capai,tired,achieved,,,,,,,,
cari,search,look for,seek,explore,,,,,,
cedera,injured,,,,,,,,,
cegah,prevent,,,,,,,,,
cemas,worried,anxious,,,,,,,,
cepat,fast,quick,rapid,hurry,speedy,,,,,
cerdas,smart,intelligent,sharp,clever,bright,,,,,
cinta,love,,,,,,,,,
cium,kiss,smell,,,,,,,,
cocok,match,suitable,right,correct,,,,,,
copet,pickpocket,,,,,,,,,
damai,peace,peaceful,,,,,,,,
dapat,get,obtain,acquire,receive,have,,,,,
daya,power,energy,strength,,,,,,,
diabaikan,ignored,,,,,,,,,
diam,quiet,silent,idle,,,,,,,
diancam,threatened,,,,,,,,,
dibersihkan,cleaned,,,,,,,,,
dicuri,stolen,,,,,,,,,
dihukum,punished,,,,,,,,,
dikalahkan,defeated,,,,,,,,,
dipercaya,trusted,,,,,,,,,
dipermalukan,humiliated,,,,,,,,,
dipertanyakan,questioned,,,,,,,,,
diprovokasi,provocated,,,,,,,,,
disebut-sebut,mentioned,,,,,,,,,
ditakuti,scared,,,,,,,,,
ditangkap,arrested,,,,,,,,,
diteror,terrorized,,,,,,,,,
ditinggalkan,abandoned,,,,,,,,,
ditingkatkan,increased,improved,,,,,,,,
dituduh,accused,,,,,,,,,
ditunda,postponed,,,,,,,,,
doa,prayer,,,,,,,,,
doktrin,doctrine,,,,,,,,,
duka,sorrow,,,,,,,,,
dukung,support,,,,,,,,,
dukungan,support,encouragement,endrorsement,,,,,,,
efektif,effective,,,,,,,,,
eksklusif,exclusive,,,,,,,,,
empati,empathy,,,,,,,,,
fitnah,slander,defamation,libel,,,,,,,
fokus,focus,,,,,,,,,
gagah,strong,heroic,,,,,,,,
gagal,failed,unsuccesful,,,,,,,,
gampang,easy,simple,,,,,,,,
ganggu,disturb,bother,,,,,,,,
gaya,style,,,,,,,,,
gelap,dark,,,,,,,,,
gentar,fear,afraid,,,,,,,,
gertak,intimidate,bully,,,,,,,,
gila,crazy,mad,insane,,,,,,,
guncang,shake,,,,,,,,,
guncangan,shock,,,,,,,,,
ha,ha!,,,,,,,,,
habis,finish,done,,,,,,,,
hal,matter,thing,subject,case,,,,,,
hancur,broken,destroyed,,,,,,,,
hantu,ghost,devil,monster,,,,,,,
harapan,hope,expectation,,,,,,,,
harga,price,cost,value,,,,,,,
harta,wealth,treasure,property,,,,,,,
hasil,result,outcome,output,product,,,,,,
hati,heart,liver,,,,,,,,
hati-hati,careful,cautious,,,,,,,,
hebat,excellent,spectacular,great,impressive,superb,fabulous,wonderful,terrific,,
heboh,excited,,,,,,,,,
heroik,heroic,,,,,,,,,
hidup,live,life,,,,,,,,
hilang,disappear,lost,go away,vanish,,,,,,
hukum,law,,,,,,,,,
ikut,follow,participate,take after,join,,,,,,
ilham,inspiration,insight,,,,,,,,
iman,faith,believe,,,,,,,,
indah,beautiful,lovely,attractive,,,,,,,
ingat,remember,,,,,,,,,
ingin,want,wish,,,,,,,,
interogasi,interrogation,,,,,,,,,
isi,stuffing,filling,,,,,,,,
istimewa,special,extraordinary,remarkable,exceptional,excellent,distinctive,particular,,,
jahat,wicked,evil,bad,malicious,mean,,,,,
jamin,guarantee,,,,,,,,,
jatuh,fall,drop,,,,,,,,
jawab,answer,reply,respond,,,,,,,
jaya,successful,victorius,glorious,,,,,,,
jelas,clear,obvious,,,,,,,,
jelek,ugly,bad,poor,lousy,disreputable,nasty,awful,,,
jenis,type,kind,,,,,,,,
jual,sell,,,,,,,,,
kalah,lose,lost,defeated,,,,,,,
kalimat,sentence,,,,,,,,,
kapal,ship,boat,vessel,,,,,,,
karya,creation,work,,,,,,,,
kasihan,pity,,,,,,,,,
kaya,rich,wealthy,,,,,,,,
keadilan,justice,fairness,equity,,,,,,,
keamanan,safety,peace,,,,,,,,
kebaikan,goodness,kind,good,kindness,,,,,,
kebencian,hatred,hate,resentment,,,,,,,
keberanian,bravery,courage,,,,,,,,
kebetulan,coincidence,by chance,,,,,,,,
kecewa,disappointed,frustated,,,,,,,,
kehancuran,destruction,,,,,,,,,
kehilangan,loss,miss,,,,,,,,
kejahatan,crime,evil,,,,,,,,
kejam,cruel,ruthless,vicious,brutal,harsh,abusive,,,,
keji,vile,mean,nasty,vicious,,,,,,
kekayaan,richess,wealthy,fortune,,,,,,,
