abu,abuw
adopsi,adopsi
aduh,aduh
aktif,aktif
aku,awak
alam,alam
alasan,alasan
aman,aman
amat,"sabana, sangaik"
ambil,ambiak
ancam,ancam
ancaman,ancaman
aneh,aneh
anehnya,anehnyo
anggun,anggun
anti,anti
antisipasi,antisipasi
api,apiy
apresiasi,maharagoi
asing,asiang
asyik,asyik
badass,badass
bagi,dek
bagus,ancak
bahagia,bahagia
bahaya,bahayo
baik,elok
ban,ban
bangga,bangga
bantu,tolong
batal,ndak jadi
batas,bateh
bebas,bebas
beberapa,ciek ciek
bela,bela
belakang,balakang
benar,bana
bencana,musibah
benci,banci
berani,bagak
berarti,bararti
berat,barek
berbahaya,babahayo
berdarah,badarah
berdoa,badoa
berduka,baduka
berguna,baguno
berhak,bahak
berharap,baharok
beri,agiah
berkomitmen,bakomitmen
berlebihan,balabiahan
bermanfaat,baguno
bersaing,basaiang
bersama,basamo
bersedih,basadiah
bersembunyi,bamandok
bersorak,basorak
besar,gadang
biadab,biadab
biaya,biayo
bingung,binguang
bodoh,engak
bohong,duto
bom,bom
buka,bukak
bunga,bungo
bungkam,-
bunuh,bunuah
bunuh diri,bunuah diri
buruk,buruak
buta,buto
cantik,ancak
capai,panek
cari,cari
cedera,luko
cegah,tagahan
cemas,cameh
cepat,capek
cerdas,cadiak
cinta,scinto
cium,cium
cocok,cocok
copet,pancilok
damai,damai
dapat,dapek
daya,dayo
diabaikan,diacuahan
diam,anok
diancam,-
dibersihkan,barasiahan
dicuri,dicilok
dihukum,dihukum
dikalahkan,dikalahan
dipercaya,dipacayo
dipermalukan,dipamaluan
dipertanyakan,ditanyoan
diprovokasi,diasuang
disebut-sebut,disabuik-sabuik
ditakuti,ditakuikan
ditangkap,ditangkok
diteror,diteror
ditinggalkan,ditinggaan
ditingkatkan,ditingkekan
dituduh,dituduah
ditunda,ditundo
doa,doa
doktrin,doktrin
duka,duko
dukung,dukuang
dukungan,dukuangan
efektif,efektif
eksklusif,khusus
empati,empati
fitnah,fitnah
fokus,fokus
gagah,gagah
gagal,gagal
gampang,mudah
ganggu,gaduah
gaya,gayo
gelap,galok
gentar,gentar
gertak,garatak
gila,gilo
guncang,guncang
guncangan,guncangan
ha,ha
habis,abih
hal,hal
hancur,hancua
hantu,hantu
harapan,harok
harga,harago
harta,harto
hasil,hasil
hati,hati
hati-hati,elok-elok
hebat,ebat
heboh,eboh
heroik,heroik
hidup,iduik
hilang,ilang
hukum,hukum
ikut,ikuik
ilham,ilham
iman,iman
indah,ancak
ingat,ingek
ingin,nio
interogasi,interogasi
isi,isi
istimewa,istimewa
jahat,jaek
jamin,jamin
jatuh,jatuah
jawab,jawek
jaya,jaya
jelas,jaleh
jelek,buruak
jenis,janis
jual,jua
kalah,kalah
kalimat,kalimaik
kapal,kapa
karya,karya
kasihan,ibo
kaya,kayo
keadilan,kaadilan
keamanan,kaamanan
kebaikan,kabaiakan
kebencian,banci
keberanian,kabaranian
kebetulan,pas
kecewa,kecewa
kehancuran,hancua
kehilangan,kahilangan
kejahatan,perilaku jaek
kejam,kejam
keji,bangih
kekayaan,kayo
kekerasan,kasa
kekuatan,kuek
kelaparan,kalaparan
keluar,kalua
kematian,kamatian
kembali,baliak
kena,kanai
kenal,kenal
kenyamanan,kanyamanan
kepentingan,kapantiangan
keras,kareh
keren,ancak
kerugian,karugian
kerusakan,karusakan
kesalahan,kasalahan
kesan,kasan
kesempatan,kesempatan
kesepian,kesepian
kesulitan,kasulikan
ketakutan,katakuikan
ketat,ketat
ketegangan,katagangan
kompak,kompak
konflik,konflik
konspirasi,konspirasi
korban,korban
korban jiwa,korban jiwa
kosong,kosong
kotor,kumuah
kuat,kuek
kurang,kurang
kutuk,kutuak
kutukan,kutuakan
langgar,langgar
larang,larang
larangan,larangan
lawan,lawan
layak,pantas
lebih,labiah
lebih baik,labiah baiak
lembut,lembuik
lengkap,langkok
lenyap,hilang
lewat,liwaik
lihat,liek
lmao,babahayo
luar biasa,lua biaso
lucu,lawak
luka,luko
lupa,lupo
maaf,maaf
mahal,maha
mampu,mampu
marah,berang
masalah,masalah
mati,mati
mayat,maik
melakukan,malakuan
melanggar,malanggar
melemahkan,malamahan
melindungi,malinduangan
melumpuhkan,malumpuahan
memastikan,mamastian
membahayakan,mambahayoan
membantu,mambantu
membatalkan,mambatalan
membenci,mambanci
membuka,mambukak
membunuh,mambunuah
memerangi,mamarangi
mempertanyakan,mampatanyoan
memuji,mamuji
menahan,manaham
menanti,mananti
menarik,manarik
mencurigakan,mancurigaan
mendapatkan,mandapekan
menderita,mandarita
mendoktrin,mandoktrin
mendorong,mandorong
mendukung,mandukuang
mendung,galok
menembak,manembak
menerima,manarimo
